ID,日付,時刻,種別,イベント,数,サイズ,地域,緯度,経度,天候,気温,月齢,潮,上げ下げ,運用日_7時,運用月,ソース
32,2025-10-28,22:40,ハブ,捕獲,1,大型メス,地蔵峠（阿木名側）,,,,,6.5,,,45958,2025-10,recovered
33,2025-10-31,21:40,ハブ,捕獲,1,幼体,阿木名林道,,,,,9.5,,,45961,2025-10,recovered
34,2025-11-04,21:30頃,ハブ,捕獲,1,幼体,油井林道,,,,雨/21-22℃,13.5,,,45965,2025-11,recovered
35,2025-11-05,22:40,ハブ,捕獲,1,幼体,久根津〜手安,,,雨,,14.5,,,45966,2025-11,recovered
36,2025-11-06,19:10,ハブ,捕獲,1,オス,伊須,,,,,15.5,,,45967,2025-11,recovered
37,2025-11-06,19:50頃,ハブ,捕獲,1,大型メス,嘉徳林道,,,,,15.5,,,45967,2025-11,recovered
38,2025-11-07,不明,ハブ,捕獲,1,,阿木名林道 他,,,満月期に近いが複数実績あり,,16.5,,,45968,2025-11,recovered
39,2025-11-08,20:00,ハブ,捕獲,1,中型メス,阿木名林道,,,,,17.5,,,45969,2025-11,recovered
40,2025-11-09,20:00,ハブ,捕獲,1,中型メス,古志〜伊目間,,,,,18.5,,,45970,2025-11,recovered
42,2025-11-18,18:30,ハブ,捕獲,1,,嘉鉄,,,,,27.5,,,45979,2025-11,recovered
44,2025-11-18,23:00,ハブ,捕獲,1,,小名瀬〜阿室釜,,,,,27.5,,,45979,2025-11,recovered
45,2025-11-21,18:30,ハブ,捕獲,1,幼体,古仁屋市街地（宮前）,,,,17-18℃,1,,,45982,2025-11,recovered
46,2025-11-21,20:00,ハブ,捕獲,1,幼体,小名瀬,,,,17-18℃,1,,,45982,2025-11,recovered
47,2025-11-24,夜,ハブ,捕獲,2,幼体1＋約1m級1,嘉徳林道,,,同夜3個体確認、草むら約1.2m目撃,,4,,,45985,2025-11,recovered
50,2026-04-13,21:35,ハブ,捕獲,1,大型,下福線,,,,21℃,25.8,,,46125,2026-04,recovered
52,2026-04-15,20:40,ハブ,捕獲,1,小型,伊須,,,,21→20℃,27.8,,,46127,2026-04,recovered
54,2026-04-17,21:40,ハブ,捕獲,1,中型,阿木名林道,,,,22-23℃,0.3,,,46129,2026-04,recovered
55,2026-04-17,22:20,ハブ,捕獲,1,小型,網野子峠住用側〜国道合流1km手前,,,,22-23℃,0.3,,,46129,2026-04,recovered
56,2026-04-19,21:40,ハブ,捕獲,1,中型,地蔵峠〜阿木名林道,,,,21-20℃/4/17と重複可能性,2.3,,,46131,2026-04,recovered
57,2026-04-19,22:20,ハブ,捕獲,1,小型,網野子峠住用側〜国道合流1km手前,,,,21-20℃/4/17と重複可能性,2.3,,,46131,2026-04,recovered
58,2026-04-20,22:05,ハブ,捕獲,1,幼体,西仲間〜新村（民家前）,,,,20℃,3.3,,,46132,2026-04,recovered
59,2026-04-20,22:10,ハブ,捕獲,1,中型,西仲間〜新村（山裾）,,,,20℃,3.3,,,46132,2026-04,recovered
60,2026-05-01,22:10,ハブ,捕獲,1,,不明,,,ファイル確認ログ,,14.3,,,46143,2026-05,May recovered
