radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
1000,2.0,10,5,,98,29,87.0,106.46938775510205,18,0.1836734693877551,31,0.3163265306122449,51,0.5204081632653061,62,0.6326530612244898,3.236309523809524
1000,2.0,10,10,,98,29,87.0,107.34693877551021,18,0.1836734693877551,31,0.3163265306122449,51,0.5204081632653061,62,0.6326530612244898,3.236309523809524
2000,2.0,5,5,240.0,98,29,87.0,109.53061224489795,16,0.16326530612244897,31,0.3163265306122449,54,0.5510204081632653,64,0.6530612244897959,3.2363095238095236
1000,2.0,2,5,120.0,98,29,84.0,109.53061224489795,15,0.15306122448979592,33,0.336734693877551,52,0.5306122448979592,65,0.6632653061224489,3.2302721088435375
1000,2.0,2,10,120.0,98,29,84.0,109.53061224489795,15,0.15306122448979592,33,0.336734693877551,52,0.5306122448979592,65,0.6632653061224489,3.2302721088435375
1000,2.0,2,20,120.0,98,29,84.0,109.53061224489795,15,0.15306122448979592,33,0.336734693877551,52,0.5306122448979592,65,0.6632653061224489,3.2302721088435375
3000,1.0,10,5,120.0,98,29,86.0,114.20408163265306,15,0.15306122448979592,34,0.3469387755102041,52,0.5306122448979592,62,0.6326530612244898,3.22749433106576
3000,1.0,10,10,120.0,98,29,86.0,114.51020408163265,15,0.15306122448979592,34,0.3469387755102041,52,0.5306122448979592,62,0.6326530612244898,3.22749433106576
2000,2.0,10,20,240.0,98,29,95.0,111.40816326530613,17,0.17346938775510204,34,0.3469387755102041,48,0.4897959183673469,62,0.6326530612244898,3.2149943310657596
1000,2.0,2,5,240.0,98,29,82.0,110.44897959183673,15,0.15306122448979592,33,0.336734693877551,52,0.5306122448979592,63,0.6428571428571429,3.212641723356009
2000,2.0,2,10,240.0,98,29,84.0,112.38775510204081,13,0.1326530612244898,33,0.336734693877551,56,0.5714285714285714,63,0.6428571428571429,3.209863945578231
