night,event_id,slot_minute,label,sin_hour,cos_hour,sin_doy,cos_doy,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,weather_code,surface_pressure,cloud_cover,global_prior,local3km_prior,actual_minute
2026-05-24,78.0:904,360,0,1.0,6.123233995736766e-17,0.6166212130956382,-0.7872599821916922,26.2,82.0,22.9,0.2,51.0,1009.7,98.0,0.0003115095976537984,0.0002390167697744282,1431
2026-05-24,78.0:904,390,0,0.9914448613738104,-0.1305261922200516,0.6166212130956382,-0.7872599821916922,26.0,82.5,22.85,0.15000000000000002,51.0,1009.5,96.5,8.785357628144597e-05,6.137512046688014e-05,1431
2026-05-24,78.0:904,420,0,0.9659258262890683,-0.25881904510252063,0.6166212130956382,-0.7872599821916922,25.8,83.0,22.8,0.1,51.0,1009.3,95.0,2.22637540975398e-05,1.4150074925627517e-05,1431
2026-05-24,78.0:904,450,0,0.9238795325112868,-0.3826834323650895,0.6166212130956382,-0.7872599821916922,25.950000000000003,84.5,23.200000000000003,0.1,51.0,1008.95,94.5,5.0661920000401854e-06,2.9273204702456335e-06,1431
2026-05-24,78.0:904,480,0,0.8660254037844387,-0.4999999999999998,0.6166212130956382,-0.7872599821916922,26.1,86.0,23.6,0.1,51.0,1008.6,94.0,1.0345961651946452e-06,5.431415457773169e-07,1431
2026-05-24,78.0:904,510,0,0.7933533402912352,-0.6087614290087207,0.6166212130956382,-0.7872599821916922,25.9,86.0,23.35,0.15000000000000002,51.0,1008.6500000000001,82.0,1.8953022183086268e-07,9.034624338998196e-08,1431
2026-05-24,78.0:904,540,0,0.7071067811865476,-0.7071067811865475,0.6166212130956382,-0.7872599821916922,25.7,86.0,23.1,0.2,51.0,1008.7,70.0,3.1135465626338036e-08,1.3468393465451215e-08,1431
2026-05-24,78.0:904,570,0,0.6087614290087209,-0.793353340291235,0.6166212130956382,-0.7872599821916922,25.45,87.5,23.15,0.15000000000000002,51.0,1008.8,84.0,4.5860061848885815e-09,1.798914187348785e-09,1431
2026-05-24,78.0:904,600,0,0.49999999999999994,-0.8660254037844387,0.6166212130956382,-0.7872599821916922,25.2,89.0,23.2,0.1,51.0,1008.9,98.0,6.116427227096488e-10,2.1522660366987637e-10,1431
2026-05-24,78.0:904,630,0,0.3826834323650899,-0.9238795325112867,0.6166212130956382,-0.7872599821916922,24.75,90.5,23.0,0.25,51.0,1008.95,92.0,1.328082842953102e-10,2.3061735043651047e-11,1431
2026-05-24,78.0:904,660,0,0.258819045102521,-0.9659258262890682,0.6166212130956382,-0.7872599821916922,24.3,92.0,22.8,0.4,51.0,1009.0,86.0,5.349295270276699e-10,2.2253549830456587e-12,1431
2026-05-24,78.0:904,690,0,0.130526192220052,-0.9914448613738104,0.6166212130956382,-0.7872599821916922,24.0,94.0,22.9,0.25,51.0,1009.2,65.5,4.077660238623329e-09,3.785980781910877e-13,1431
2026-05-24,78.0:904,720,0,1.2246467991473532e-16,-1.0,0.6166212130956382,-0.7872599821916922,23.7,96.0,23.0,0.1,51.0,1009.4,45.0,2.8294668184778556e-08,2.2451435256718446e-12,1431
2026-05-24,78.0:904,750,0,-0.13052619222005177,-0.9914448613738104,0.6166212130956382,-0.7872599821916922,23.4,97.0,22.85,0.05,51.0,1009.55,43.0,1.763383980264099e-07,2.337222299689655e-11,1431
2026-05-24,78.0:904,780,0,-0.2588190451025208,-0.9659258262890683,0.6166212130956382,-0.7872599821916922,23.1,98.0,22.7,0.0,1.0,1009.7,41.0,9.872418530377173e-07,2.1922728659714238e-10,1431
2026-05-24,78.0:904,810,0,-0.38268343236508967,-0.9238795325112868,0.6166212130956382,-0.7872599821916922,23.450000000000003,97.5,23.049999999999997,0.0,1.0,1009.6500000000001,63.0,4.967179612039458e-06,1.8423091743253552e-09,1431
