family,params,eligible,nights,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,score
recency_season,"{""tau_days"": 365, ""season_bw"": 60}",98,29,83.5,116.14285714285714,11,0.11224489795918367,36,0.3673469387755102,52,0.5306122448979592,62,0.6326530612244898,3.1289257369614516
recency_season,"{""tau_days"": 365, ""season_bw"": 90}",98,29,89.0,119.10204081632654,10,0.10204081632653061,34,0.3469387755102041,49,0.5,61,0.6224489795918368,2.9478174603174603
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,70.5,96.81632653061224,16,0.16326530612244897,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.789838435374149
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 30, ""env_scale"": 1.0}",98,29,73.0,98.93877551020408,16,0.16326530612244897,40,0.40816326530612246,56,0.5714285714285714,68,0.6938775510204082,3.612896825396825
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 30, ""env_scale"": 1.5}",98,29,73.0,97.38775510204081,19,0.19387755102040816,39,0.3979591836734694,58,0.5918367346938775,67,0.6836734693877551,3.735345804988662
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 30, ""env_scale"": 2.0}",98,29,73.0,98.22448979591837,19,0.19387755102040816,35,0.35714285714285715,58,0.5918367346938775,68,0.6938775510204082,3.6231009070294786
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 45, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,17,0.17346938775510204,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.830654761904762
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 45, ""env_scale"": 1.0}",98,29,73.0,98.63265306122449,16,0.16326530612244897,41,0.41836734693877553,57,0.5816326530612245,68,0.6938775510204082,3.6639172335600905
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 45, ""env_scale"": 1.5}",98,29,77.5,102.77551020408163,17,0.17346938775510204,32,0.32653061224489793,55,0.5612244897959183,64,0.6530612244897959,3.341340702947846
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 45, ""env_scale"": 2.0}",98,29,73.0,98.22448979591837,22,0.22448979591836735,36,0.3673469387755102,58,0.5918367346938775,67,0.6836734693877551,3.7659580498866214
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 60, ""env_scale"": 0.75}",98,29,73.0,99.61224489795919,17,0.17346938775510204,40,0.40816326530612246,58,0.5918367346938775,71,0.7244897959183674,3.725141723356009
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 60, ""env_scale"": 1.0}",98,29,70.5,98.3265306122449,16,0.16326530612244897,41,0.41836734693877553,58,0.5918367346938775,68,0.6938775510204082,3.6877976190476187
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 60, ""env_scale"": 1.5}",98,29,77.5,103.36734693877551,17,0.17346938775510204,34,0.3469387755102041,55,0.5612244897959183,64,0.6530612244897959,3.4025651927437637
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 60, ""env_scale"": 2.0}",98,29,75.0,101.0204081632653,20,0.20408163265306123,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.5386904761904763
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 90, ""env_scale"": 0.75}",98,29,73.0,99.61224489795919,17,0.17346938775510204,40,0.40816326530612246,58,0.5918367346938775,71,0.7244897959183674,3.725141723356009
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 90, ""env_scale"": 1.0}",98,29,73.0,99.44897959183673,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 90, ""env_scale"": 1.5}",98,29,77.5,104.59183673469387,17,0.17346938775510204,33,0.336734693877551,55,0.5612244897959183,64,0.6530612244897959,3.3719529478458043
recency_season_weather,"{""tau_days"": 90, ""season_bw"": 90, ""env_scale"": 2.0}",98,29,75.0,102.22448979591837,19,0.19387755102040816,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.497874149659864
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,73.0,96.91836734693878,16,0.16326530612244897,40,0.40816326530612246,60,0.6122448979591837,74,0.7551020408163265,3.755753968253968
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 30, ""env_scale"": 1.0}",98,29,73.0,98.93877551020408,16,0.16326530612244897,40,0.40816326530612246,56,0.5714285714285714,68,0.6938775510204082,3.612896825396825
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 30, ""env_scale"": 1.5}",98,29,73.0,98.3061224489796,18,0.1836734693877551,36,0.3673469387755102,58,0.5918367346938775,67,0.6836734693877551,3.6026927437641727
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 30, ""env_scale"": 2.0}",98,29,73.0,97.91836734693878,22,0.22448979591836735,35,0.35714285714285715,58,0.5918367346938775,68,0.6938775510204082,3.745549886621315
