night,capture_count,positive,multi2,multi3,multi5,sin_month,cos_month,sin_doy,cos_doy,prior_mean_count,prior30_mean_count,prior14_mean_count,prior30_active_nights,prior14_active_nights,temp_mean,temp_min,humidity_mean,dewpoint_mean,precip_sum,pressure_mean,cloud_mean,weather_max
2025-10-19,1,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.9521140536681102,0.3057430764672831,1.0,1.0,1.4,12,5,25.553846153846152,24.0,88.6923076923077,23.515384615384615,1.9,1013.6307692307691,99.6923076923077,61
2025-10-21,4,1,1,1,0,-0.8660254037844386,0.5000000000000001,-0.9410336347451197,0.3383130181923076,1.0,1.0,1.3333333333333333,12,6,23.95384615384615,22.9,94.3076923076923,22.96153846153846,0.2,1012.3076923076925,99.07692307692308,51
2025-10-26,3,1,1,1,0,-0.8660254037844386,0.5000000000000001,-0.9084917035725082,0.41790288888678667,1.3,1.2727272727272727,1.7142857142857142,11,7,23.338461538461537,21.9,68.92307692307692,17.19230769230769,0.30000000000000004,1013.3999999999999,39.30769230769231,51
2025-10-28,1,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.8935790198239952,0.4489059314938798,1.5,1.4545454545454546,1.8571428571428572,11,7,21.04615384615385,20.4,74.23076923076923,16.153846153846157,2.3000000000000003,1017.9307692307694,99.84615384615384,53
2025-10-31,1,1,0,0,0,-0.8660254037844386,0.5000000000000001,-0.8692328164574792,0.49440298420761813,1.6,1.4545454545454546,2.1666666666666665,11,6,21.200000000000003,20.9,82.0,17.97692307692308,0.30000000000000004,1010.5076923076923,67.6923076923077,51
2025-11-04,1,1,0,0,0,-0.5000000000000004,0.8660254037844384,-0.8331829385891785,0.5529974600700271,1.7,1.7,2.25,10,4,19.392307692307693,17.9,92.15384615384616,17.99230769230769,48.300000000000004,1015.2846153846154,100.0,63
2025-11-05,1,1,0,0,0,-0.5000000000000004,0.8660254037844384,-0.8235472349556007,0.5672476988027229,1.6,1.6363636363636365,1.5,11,4,20.446153846153848,19.4,93.07692307692308,19.284615384615385,5.4,1012.3692307692307,74.61538461538461,61
2025-11-06,2,1,1,0,0,-0.5000000000000004,0.8660254037844384,-0.8136678304455991,0.5813300798152042,1.6,1.5833333333333333,1.4,12,5,21.853846153846153,21.4,78.15384615384616,17.838461538461537,0.30000000000000004,1014.653846153846,66.76923076923077,51
2025-11-08,1,1,0,0,0,-0.5000000000000004,0.8660254037844384,-0.7931896839451843,0.6089746507720486,1.8,1.6153846153846154,1.5,13,6,23.46153846153846,22.3,78.23076923076923,19.315384615384612,0.30000000000000004,1014.5769230769231,50.23076923076923,51
2025-11-09,1,1,0,0,0,-0.5000000000000004,0.8660254037844384,-0.7825970017677834,0.6225286602431057,1.7,1.5714285714285714,1.4285714285714286,14,7,23.00769230769231,22.6,86.38461538461539,20.638461538461538,0.0,1011.5307692307692,28.923076923076923,3
2025-11-18,2,1,1,0,0,-0.5000000000000004,0.8660254037844384,-0.6772399381909491,0.7357622347736527,1.6,1.6,1.2,10,5,17.43846153846154,15.9,66.6923076923077,11.076923076923077,0.9,1019.8,84.46153846153847,53
2025-11-21,2,1,1,0,0,-0.5000000000000004,0.8660254037844384,-0.6383844591746642,0.769717664006921,1.7,1.4444444444444444,1.3333333333333333,9,3,18.246153846153845,16.8,62.15384615384615,10.853846153846153,0.0,1020.6692307692307,49.84615384615385,3
2026-04-12,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.9831469737221499,-0.1828169249850199,1.5,0.0,0.0,0,0,22.053846153846152,21.6,96.76923076923077,21.53076923076923,1.2000000000000002,1009.7692307692306,89.0,51
2026-04-13,1,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.9798567700958665,-0.1997015525660636,1.2,0.0,0.0,1,1,20.907692307692308,20.0,92.92307692307692,19.74615384615385,0.2,1010.1846153846155,33.69230769230769,51
2026-04-15,1,1,0,0,0,0.8660254037844387,-0.4999999999999998,0.9724075561219968,-0.23328854407545518,1.2,0.5,0.5,2,2,20.299999999999997,19.4,84.92307692307692,17.676923076923075,0.0,1008.5384615384615,17.23076923076923,1
2026-04-17,2,1,1,0,0,0.8660254037844387,-0.4999999999999998,0.9638074231367307,-0.26659942067929354,1.2,0.6666666666666666,0.6666666666666666,3,3,21.446153846153848,21.0,77.23076923076923,17.284615384615385,0.1,1009.9230769230769,91.0,51
2026-04-19,2,1,1,0,0,0.8660254037844387,-0.4999999999999998,0.9540665500578387,-0.2995947563972602,1.3,1.0,1.0,4,4,18.707692307692305,17.8,85.6923076923077,16.223076923076924,0.0,1008.9615384615385,24.153846153846153,3
2026-04-20,2,1,1,0,0,0.8660254037844387,-0.4999999999999998,0.9487718864399473,-0.31596187665790293,1.4,1.2,1.2,5,5,19.815384615384612,18.9,75.76923076923077,15.400000000000002,0.0,1011.6692307692308,49.15384615384615,3
2026-05-01,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.8724040568049612,-0.48878539428899265,1.4,1.3333333333333333,2.0,6,3,16.95384615384615,15.6,68.6923076923077,11.053846153846155,0.0,1013.6615384615385,32.15384615384615,3
2026-05-03,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.8550745085896932,-0.518505144391157,1.4,1.2857142857142858,1.6666666666666667,7,3,20.753846153846155,18.3,94.0,19.73076923076923,29.300000000000004,1009.3999999999999,100.0,63
2026-05-07,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.8174009818249189,-0.5760691233798758,1.4,1.25,1.0,8,2,21.169230769230772,20.3,91.6923076923077,19.753846153846155,0.0,1011.2230769230771,91.53846153846153,3
2026-05-10,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7865965660866021,-0.6174672802835514,1.2,1.1111111111111112,0.6666666666666666,9,3,20.52307692307692,20.0,78.3076923076923,16.576923076923077,2.4000000000000004,1013.6153846153846,98.46153846153847,55
2026-05-13,2,1,1,0,0,0.49999999999999994,-0.8660254037844387,0.753697664392914,-0.6572212950663319,1.0,1.1111111111111112,0.5,9,4,19.86923076923077,18.7,90.3076923076923,18.223076923076924,0.0,1007.2538461538461,90.92307692307692,3
2026-05-15,2,1,1,0,0,0.49999999999999994,-0.8660254037844387,0.7306444969184916,-0.6827580970759147,1.2,1.2222222222222223,0.8,9,5,21.115384615384617,20.7,73.61538461538461,16.192307692307693,0.1,1014.8461538461537,13.846153846153847,51
2026-05-18,3,1,1,1,0,0.49999999999999994,-0.8660254037844387,0.6944521021088763,-0.719538934232584,1.3,1.25,1.0,8,4,22.200000000000003,21.8,83.6923076923077,19.26923076923077,0.6000000000000001,1011.1000000000001,86.15384615384616,51
