radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
1500,2.0,0.8,2,180.0,98,29,94.0,109.28571428571429,21,0.21428571428571427,"[0.14464436812023418, 0.30548210279145616]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6796201814058955
500,1.5,0.95,1,,98,29,96.5,111.26530612244898,20,0.20408163265306123,"[0.1361759801787412, 0.29431215040836667]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",45,0.45918367346938777,"[0.36392528815047387, 0.5575213505511963]",1.6778840702947844
500,1.5,0.99,3,90.0,98,29,99.5,111.59183673469387,21,0.21428571428571427,"[0.14464436812023418, 0.30548210279145616]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",1.6758007369614514
500,2.0,0.95,1,180.0,98,29,88.5,106.91836734693878,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.673235544217687
3000,1.5,0.8,1,90.0,98,29,88.5,107.59183673469387,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.673235544217687
3000,1.5,0.8,2,90.0,98,29,88.5,107.89795918367346,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.673235544217687
3000,1.5,0.8,3,90.0,98,29,88.5,108.20408163265306,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",39,0.3979591836734694,"[0.3066643027632052, 0.49695229399096996]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.673235544217687
1500,2.0,0.8,3,180.0,98,29,98.0,110.51020408163265,20,0.20408163265306123,"[0.1361759801787412, 0.29431215040836667]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.666638321995465
500,2.0,0.8,3,,98,29,100.0,111.3265306122449,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",35,0.35714285714285715,"[0.26931387894509207, 0.4557493565107532]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.6652494331065761
3000,1.5,0.99,3,180.0,98,29,87.0,113.16326530612245,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.6640731292517008
2000,2.0,0.99,1,180.0,98,29,87.0,115.14285714285714,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",35,0.35714285714285715,"[0.26931387894509207, 0.4557493565107532]",54,0.5510204081632653,"[0.45247368335883686, 0.6457180182640755]",1.6640731292517008
2000,1.5,0.99,1,90.0,98,29,90.5,115.36734693877551,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.661642573696145
3000,1.5,0.99,3,,98,29,92.5,115.48979591836735,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",35,0.35714285714285715,"[0.26931387894509207, 0.4557493565107532]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6602536848072562
500,2.0,0.95,3,90.0,98,29,100.0,107.83673469387755,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.655045351473923
2000,2.0,0.99,2,180.0,98,29,87.0,112.6938775510204,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",35,0.35714285714285715,"[0.26931387894509207, 0.4557493565107532]",53,0.5408163265306123,"[0.4424786494488038, 0.6360747118495262]",1.6538690476190478
500,2.0,0.99,3,,98,29,103.0,112.85714285714286,21,0.21428571428571427,"[0.14464436812023418, 0.30548210279145616]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",1.6529620181405893
3000,1.0,0.8,1,90.0,98,29,88.5,113.28571428571429,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.652827380952381
3000,1.0,0.8,2,90.0,98,29,88.5,113.59183673469387,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.652827380952381
3000,1.0,0.8,3,90.0,98,29,88.5,114.51020408163265,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.652827380952381
1000,2.0,0.99,1,,98,29,90.5,116.44897959183673,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",31,0.3163265306122449,"[0.23266923518824523, 0.41384063896927004]",49,0.5,"[0.402890108516874, 0.597109891483126]",1.6514384920634921
2000,1.5,0.99,2,90.0,98,29,91.0,112.61224489795919,16,0.16326530612244897,"[0.10306715625004181, 0.24886761303873606]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6510912698412699
