canonical_id,timestamp,individual_count,lat,lon,segment_id,event_match_distance_m,positive_learning_rows,nearest_visit_delta_s,audit_status
92,2026-06-06 21:31:00+09:00,1,28.16531944725171,129.3851085613232,OSM_ro364_0_31,1.6071017237252638,1,0.0,ok
93,2026-06-06 22:26:00+09:00,1,28.19253467025998,129.3994197530014,OSM_ro338_0_1,7.93814800808637,1,0.0,ok
94,2026-06-06 22:29:00+09:00,1,28.19398549387995,129.3979672530008,OSM_ro257_0_16,0.17951340139074687,1,0.0,ok
95,2026-06-10 20:03:00+09:00,1,28.13607411185581,129.3303937109416,OSM_ro119_0_263,2.359779470467949,1,0.0,ok
96,2026-06-10 21:07:00+09:00,1,28.1687168264842,129.3814804545016,OSM_ro278_0_17,3.725036372238675,1,0.0,ok
97,2026-06-10 21:09:00+09:00,1,28.16691944207961,129.3820700122467,OSM_ro92_0_8,5.501202499444025,1,0.0,ok
98,2026-06-10 21:20:00+09:00,1,28.16587232385011,129.3876062422913,OSM_ro364_0_70,1.5613074680153474,1,0.0,ok
99,2026-06-10 21:20:00+09:00,1,28.16578169556139,129.3876294576924,OSM_ro364_0_71,3.8470688506243484,1,0.0,ok
100,2026-06-13 00:04:00+09:00,1,28.17133114607373,129.3354712152556,OSM_ro823_0_2,2.1206925796522116,1,0.0,ok
101,2026-06-13 01:12:00+09:00,1,28.19696823585628,129.3902795548619,OSM_ro48_0_20,2.376473416197264,1,0.0,ok
102,2026-06-13 03:17:00+09:00,1,28.14088495230628,129.3509162699253,OSM_ro136_0_184,2.892067738719044,1,0.0,ok
104,2026-06-16 21:31:00+09:00,1,28.16552281179552,129.3831231911986,OSM_ro364_0_11,3.5337067509564006,1,0.0,ok
105,2026-06-13 22:13:00+09:00,1,28.17024734439429,129.3778770850808,OSM_ro961_0_14,4.687713415453455,1,0.0,ok
106,2026-06-14 00:08:00+09:00,1,28.19376785903152,129.3639642708495,OSM_ro88_0_194,3.8392953759761475,1,0.0,ok
107,2026-06-14 01:49:00+09:00,1,28.1761333435208,129.3635963012181,OSM_ro129_0_194,6.659943645490065,1,0.0,ok
108,2026-06-17 22:43:00+09:00,1,28.19297614510003,129.3990086206509,OSM_ro257_0_1,4.788677634996425,1,0.0,ok
109,2026-06-17 23:27:00+09:00,1,28.17408593374134,129.3639223092509,OSM_ro129_0_220,1.3658985683039198,1,0.0,ok
111,2026-06-17 23:57:00+09:00,1,28.17431396341712,129.3271901273442,OSM_ro384_0_7,2.549859117529181,1,0.0,ok
112,2026-06-18 22:52:00+09:00,1,28.17099446827299,129.3796799929451,OSM_ro132_0_10,1.7550978015902772,1,0.0,ok
113,2026-06-19 00:06:00+09:00,1,28.18345568611117,129.3779552077217,OSM_ro527_0_76,1.8452235991571233,1,0.0,ok
114,2026-06-19 00:29:00+09:00,1,28.19427271104352,129.3977238722566,OSM_ro257_0_20,5.313320447679714,1,0.0,ok
115,2026-06-19 01:04:00+09:00,1,28.18216902206482,129.3694877253187,OSM_ro129_0_60,7.488336350960872,1,0.0,ok
117,2026-06-20 22:17:00+09:00,1,28.17200013904662,129.3794812170131,OSM_ro146_0_322,4.969331460807847,1,0.0,ok
118,2026-06-21 00:13:00+09:00,1,28.19704258464521,129.3921015130903,OSM_ro137_0_60,0.9508839839027883,1,0.0,ok
119,2026-06-21 02:27:00+09:00,1,28.16854704698684,129.2989658064317,OSM_ro877_0_12,3.6861121219614335,1,0.0,ok
120,2026-06-21 02:42:00+09:00,1,28.16920872906329,129.29908098298,OSM_ro879_0_13,0.45501128011486947,1,0.0,ok
121,2026-06-22 20:25:00+09:00,1,28.13995356674133,129.3488402479601,OSM_ro136_0_265,2.313074405947947,1,0.0,ok
122,2026-06-22 20:58:00+09:00,1,28.14887845231345,129.3591007025003,,190.79536683145417,0,,road_unmatched
123,2026-06-22 21:34:00+09:00,1,28.16740395199922,129.3703414131476,OSM_ro37_0_136,0.21579225397661236,1,0.0,ok
125,2026-06-23 01:25:00+09:00,1,28.15695814325306,129.2967246753437,OSM_ro222_0_135,2.592291329276879,1,0.0,ok
126,2026-06-23 01:39:00+09:00,1,28.16851581954322,129.29896949206,OSM_ro877_0_12,1.791540478614234,1,0.0,ok
127,2026-06-23 01:56:00+09:00,1,28.17965645961609,129.2937084146953,OSM_ro445_0_6,4.25140079835697,1,0.0,ok
129,2026-06-23 22:12:00+09:00,1,28.13903138975443,129.347404679404,OSM_ro136_0_284,5.349170473427938,1,0.0,ok
130,2026-06-23 22:17:00+09:00,1,28.13999692924554,129.3488073088956,OSM_ro136_0_265,1.8005235366417438,1,0.0,ok
