night,phase,rank,slot_time,score
2026-08-17,selection,22,2026-08-18T01:00:00+09:00,0.95142565740098
2026-08-17,selection,23,2026-08-18T00:30:00+09:00,0.9487722569908583
2026-08-17,selection,24,2026-08-18T00:00:00+09:00,0.9487722569908583
2026-08-17,selection,25,2026-08-18T01:50:00+09:00,0.9450962816715943
2026-08-17,selection,26,2026-08-18T01:20:00+09:00,0.9450962816715943
2026-08-17,selection,27,2026-08-17T23:00:00+09:00,0.9442672998602898
2026-08-17,selection,28,2026-08-17T23:30:00+09:00,0.9442672998602898
2026-08-17,selection,29,2026-08-17T23:10:00+09:00,0.943692858545089
2026-08-17,selection,30,2026-08-17T23:40:00+09:00,0.943692858545089
2026-08-17,selection,31,2026-08-18T01:50:00+09:00,0.9421793211036833
2026-08-17,selection,32,2026-08-18T01:20:00+09:00,0.9421793211036833
2026-08-17,selection,33,2026-08-17T23:30:00+09:00,0.9420161778846314
2026-08-17,selection,34,2026-08-17T23:00:00+09:00,0.9420161778846314
2026-08-17,selection,35,2026-08-18T01:50:00+09:00,0.9416061500021851
2026-08-17,selection,36,2026-08-18T01:20:00+09:00,0.9416061500021851
2026-08-17,selection,37,2026-08-18T01:50:00+09:00,0.9399331768444665
2026-08-17,selection,38,2026-08-18T01:20:00+09:00,0.9399331768444665
2026-08-17,selection,39,2026-08-17T23:20:00+09:00,0.9378593742505726
2026-08-17,selection,40,2026-08-18T02:50:00+09:00,0.9371723214834511
2026-08-17,selection,41,2026-08-18T02:00:00+09:00,0.9371723214834511
2026-08-17,selection,42,2026-08-17T23:30:00+09:00,0.9359971146262996
2026-08-17,selection,43,2026-08-17T23:00:00+09:00,0.9359971146262996
2026-08-17,selection,44,2026-08-18T01:20:00+09:00,0.934595138745471
2026-08-17,selection,45,2026-08-18T01:50:00+09:00,0.934595138745471
2026-08-17,selection,46,2026-08-18T00:10:00+09:00,0.9323425885342133
2026-08-17,selection,47,2026-08-18T00:50:00+09:00,0.9323425885342133
2026-08-17,selection,48,2026-08-17T23:30:00+09:00,0.9316202484557375
2026-08-17,selection,49,2026-08-17T23:00:00+09:00,0.9316202484557375
2026-08-17,selection,50,2026-08-18T02:40:00+09:00,0.9243536702134224
